model,city,mpg,mass(kg),wt
Nissan Titan 2WD Gas FFV A-5,13,18,2389.122,5267.106144
Hummer H3T 4WD 3.7L A-4,14,18,2189.349,4826.682592
Chevrolet Van 1500 Cargo 2WD FFV Gas,14,18,2161.263,4764.763635
GMC Savanna 1500 AWD Cargo FFV Gas,14,17,2305.77,5083.346657
Hyundai Entourage A-5,16,23,2068.398,4560.031599
KIA Sedona A-5,16,23,1987.311,4381.265577
Mazda 5 A-S5,21,27,1574.175,3470.457689
Toyota Sienna 2WD A-5,17,23,1892.181,4171.540076
Buick Enclave FWD A-5,17,24,2165.34,4773.751871
Cadillac Escalade 2WD FFV Gas A-5,12,19,2585.724,5700.538845
Cadillac SRX 2WD A-S5,15,23,1913.472,4218.478641
Chevrolet Avalanche 1500 5.3L 2WD,14,20,2536.347,5591.681323
Chevrolet Equinox FWD A-5,17,24,1698.75,3745.098225
Chevrolet HHR FWD 2.0L A-4,19,29,1453.224,3203.806695
Chevrolet Tahoe 1500 FFV Gas 5.3L A-6,14,20,2539.971,5599.670866
Chevrolet Tahoe 1500 FFV E85 5.3L A-6,10,15,2385.045,5258.117908
Chevrolet Trailblazer 4.2L,14,20,2048.919,4517.087806
Ford Escape FWD 2.5L A-6,20,28,1540.2,3395.555724
Ford Flex FWD A-6,17,24,2187.084,4821.689128
GMC Acadia FWD A-6,17,24,2109.168,4649.913956
GMC Envoy 2WD 4.2L A-6,14,20,1961.943,4325.338777
GMC Yukon 1500 2WD A-6,14,20,2383.686,5255.121829
Honda Pilot 2WD A-5,17,23,1956.507,4313.354462
Hyundai Santa Fe 2WD A-4,18,24,1797.957,3963.811961
Jeep Commander 2WD A-5,15,20,2355.147,5192.204179
Jeep Grand Cherokee 2WD A-5,16,21,2215.623,4884.606778
KIA Borrego 2WD A-5,17,21,2174.4,4793.725728
Lexus RX 350 2WD A-S5,18,23,1753.11,3864.941368
Mazda CX-7 2WD A-S6,17,23,1779.837,3923.864247
Mitsubishi Outlander 2WD A-S6,17,24,1537.935,3390.56226
Nissan Armada 2WD A-5,12,18,2564.433,5653.60028
Pontiac Torrent FWD A-5,17,24,1657.98,3655.215868
Saturn Outlook FWD A-6,17,24,2163.981,4770.755792
Saturn Vue FWD A-4,19,26,1715.964,3783.048554
Toyota Highlander 2WD A-S5,18,24,2042.124,4502.107413
GMC Yukon Denali 1500 FFV Gas AWD A-6 6.2L,12,19,2576.211,5679.566295
Hummer H3 4WD A-4 3.7L,14,18,2212.452,4877.615928
Land Rover LR2 A-S6,15,22,1927.515,4249.438119
